3	1	hello	həˈloʊ	你好
3	1	hi	haɪ	嗨；你好
3	1	goodbye	ˌɡʊdˈbaɪ	再见
3	1	bye	baɪ	再见
3	1	I	aɪ	我
3	1	am	æm	是
3	1	Miss	mɪs	小姐；女士
3	1	Mr	ˈmɪstər	先生
3	1	and	ænd	和；与
3	1	too	tuː	也；太
3	1	how	haʊ	怎样；如何
3	1	are	ɑːr	是
3	1	you	juː	你；你们
3	1	fine	faɪn	好的
3	1	thank	θæŋk	感谢
3	1	nice	naɪs	好的；令人愉快的
3	1	meet	miːt	遇见；碰到
3	1	good	ɡʊd	好的
3	1	morning	ˈmɔːrnɪŋ	早晨；上午
3	1	afternoon	ˌæftərˈnuːn	下午
3	1	evening	ˈiːvnɪŋ	傍晚；晚上
3	1	red	red	红色；红色的
3	1	yellow	ˈjeloʊ	黄色；黄色的
3	1	green	ɡriːn	绿色；绿色的
3	1	blue	bluː	蓝色；蓝色的
3	1	black	blæk	黑色；黑色的
3	1	white	waɪt	白色；白色的
3	1	orange	ˈɔːrɪndʒ	橙色；橙色的
3	1	brown	braʊn	棕色；棕色的
3	1	colour	ˈkʌlər	颜色
3	1	see	siː	看见
3	1	face	feɪs	脸
3	1	ear	ɪr	耳朵
3	1	eye	aɪ	眼睛
3	1	nose	noʊz	鼻子
3	1	mouth	maʊθ	嘴巴
3	1	arm	ɑːrm	手臂
3	1	hand	hænd	手
3	1	head	hed	头
3	1	body	ˈbɒdi	身体
3	1	leg	leɡ	腿
3	1	foot	fʊt	脚
3	1	look	lʊk	看
3	1	at	æt	在
3	1	this	ðɪs	这；这个
3	1	my	maɪ	我的
3	1	me	miː	我
3	1	your	jʊr	你的；你们的
3	1	the	ðə	这；那
3	1	cat	kæt	猫
3	1	dog	dɒɡ	狗
3	1	duck	dʌk	鸭子
3	1	pig	pɪɡ	猪
3	1	bear	ber	熊
3	1	bird	bɜːrd	鸟
3	1	panda	ˈpændə	熊猫
3	1	tiger	ˈtaɪɡər	老虎
3	1	elephant	ˈelɪfənt	大象
3	1	monkey	ˈmʌŋki	猴子
3	1	zoo	zuː	动物园
3	1	animal	ˈænɪml	动物
3	1	what	wɒt	什么
3	1	a	ə	一（个、只）
3	1	an	æn	一（个、只）
3	1	is	ɪz	是
3	1	it	ɪt	它
3	1	cute	kjuːt	可爱的
3	1	funny	ˈfʌni	有趣的；滑稽的
3	1	cool	kuːl	酷的；凉爽的
3	1	bread	bred	面包
3	1	juice	dʒuːs	果汁
3	1	egg	eɡ	蛋
3	1	milk	mɪlk	牛奶
3	1	water	ˈwɔːtər	水
3	1	cake	keɪk	蛋糕
3	1	fish	fɪʃ	鱼
3	1	rice	raɪs	米饭
3	1	eat	iːt	吃
3	1	drink	drɪŋk	喝
3	1	have	hæv	有；吃
3	1	some	sʌm	一些
3	1	like	laɪk	喜欢
3	1	here	hɪr	这里
3	1	please	pliːz	请
3	1	thanks	θæŋks	谢谢
3	1	can	kæn	能；可以
3	1	one	wʌn	一
3	1	two	tuː	二
3	1	three	θriː	三
3	1	four	fɔːr	四
3	1	five	faɪv	五
3	1	six	sɪks	六
3	1	seven	ˈsevən	七
3	1	eight	eɪt	八
3	1	nine	naɪn	九
